,max_LOW_continuum [blcoal] [!otf] [spbf],max_LOW_spectral [blcoal] [!otf] [spbf],max_MID_continuum [blcoal] [!otf] [spbf],max_MID_spectral [blcoal] [!otf] [spbf],max_Band5_MID_continuum [blcoal] [!otf] [spbf],max_Band5_MID_spectral [blcoal] [!otf] [spbf],01ICAL [blcoal] [!otf] [spbf],01DPrepA [blcoal] [!otf] [spbf],01DPrepB [blcoal] [!otf] [spbf],01DPrepC [blcoal] [!otf] [spbf],02AICAL [blcoal] [!otf] [spbf],02ADPrepA [blcoal] [!otf] [spbf],02ADPrepB [blcoal] [!otf] [spbf],02ADPrepC [blcoal] [!otf] [spbf],02BICAL [blcoal] [!otf] [spbf],02BDPrepA [blcoal] [!otf] [spbf],02BDPrepB [blcoal] [!otf] [spbf],02BDPrepC [blcoal] [!otf] [spbf],13ICAL [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepA [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepB [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepC [blcoal] [!otf] [Bmax=40000] [spbf],14ICAL [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepA [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepB [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepC [blcoal] [!otf] [Bmax=25000] [spbf],15ICAL [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepA [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepB [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepC [blcoal] [!otf] [Bmax=15000] [spbf],22ICAL [blcoal] [!otf] [spbf],22DPrepA [blcoal] [!otf] [spbf],22DPrepB [blcoal] [!otf] [spbf],27ICAL [blcoal] [!otf] [Bmax=50000] [spbf],27DPrepA [blcoal] [!otf] [Bmax=50000] [spbf],27DPrepB [blcoal] [!otf] [Bmax=50000] [spbf],32ICAL [blcoal] [!otf] [Bmax=20000] [spbf],32DPrepB [blcoal] [!otf] [Bmax=20000] [spbf],37aICAL [blcoal] [!otf] [spbf],37aDPrepA [blcoal] [!otf] [spbf],37aDPrepB [blcoal] [!otf] [spbf],37bICAL [blcoal] [!otf] [spbf],37bDPrepA [blcoal] [!otf] [spbf],37bDPrepB [blcoal] [!otf] [spbf],37cICAL [blcoal] [!otf] [Bmax=95000] [spbf],37cDPrepA [blcoal] [!otf] [Bmax=95000] [spbf],37cDPrepB [blcoal] [!otf] [Bmax=95000] [spbf],38aICAL [blcoal] [!otf] [spbf],38aDPrepA [blcoal] [!otf] [spbf],38aDPrepB [blcoal] [!otf] [spbf],38bICAL [blcoal] [!otf] [spbf],38bDPrepA [blcoal] [!otf] [spbf],38bDPrepB [blcoal] [!otf] [spbf]
W kernel support bw10 [uv-pixels],,,15.03708227666061,88.27634966885586,11.224632420236343,38.169060751275325,,,,,,,,,,,,,,,,,,,,,,,,,11.94496712486513,11.018995478580715,20.390774956282804,,,,,,19.192418731774335,10.387181340622444,13.530596741795385,13.510786956219842,10.387181340622444,13.530596741795385,,,,10.602295986771496,11.103420999541184,20.32367895748071,10.186769985455541,11.103420999541184,20.32367895748071
W kernel support bw11 [uv-pixels],,,16.75514868222085,98.53521277402321,12.505249645231789,42.55980089723599,,,,,,,,,,,,,,,,,,,,,,,,,13.30815762139151,12.276047260457988,22.72476286359041,,,,,,21.38838575127567,11.571848972915936,15.075683408924894,15.053600036793474,11.571848972915936,15.075683408924894,,,,11.811604928867814,12.370147335406275,22.649936801661635,11.348483777030117,12.370147335406275,22.649936801661635
AW kernel support bw0 [uv-pixels],10.043807374411267,10.23314560803486,10.083338462800263,12.46747403793577,10.046674551027726,10.517467326389124,10.036220877149471,10.02304033508625,10.110594057097224,10.106683802018239,10.02197767538351,10.02304033508625,10.110594057097224,10.106683802018239,10.02197767538351,10.02304033508625,10.110594057097224,10.106683802018239,10.221790252813829,10.34882641762976,10.780490200088703,11.067517518578269,10.363086175459019,10.246973035616024,10.584380791326145,13.305337495439343,10.685375025026868,10.314008635648475,10.634420907690279,14.316625984064915,10.052807062997946,10.044992251739183,10.152092246982066,10.208814098537486,10.159625687861393,10.375052604030172,11.141263970195391,10.60963897059801,10.134974924551432,10.04001386619923,10.06761413496981,10.067418089101071,10.04001386619923,10.06761413496981,10.060957892792914,10.10608784514782,10.077604145444935,10.04167657265261,10.04567925090671,10.151107776339295,10.03849484322573,10.04567925090671,10.151107776339295
AW kernel support bw1 [uv-pixels],10.123606235188594,10.647938620941119,10.152734495169893,14.219091723263512,10.085653848976692,10.933543050379155,10.102260376250715,10.065112814732295,10.310384512589918,10.299505001115012,10.062114474504959,10.065112814732295,10.310384512589918,10.299505001115012,10.062114474504959,10.065112814732295,10.310384512589918,10.299505001115012,10.404392067706631,10.633070002943358,11.395699170398052,11.89194158266218,10.658610918802362,10.449889496638706,11.051838552412793,15.55755802543637,11.229438404377305,10.57060009089512,11.139974651866533,17.135323900295468,10.096886754897882,10.082571493648143,10.278029920860174,10.380915539206253,10.291719495740677,10.68002471415608,12.018198098364072,11.096360725927804,10.246896108713177,10.073447717577695,10.123987674197275,10.123629053733833,10.073447717577695,10.123987674197275,10.111808674701981,10.19426418495557,10.142255096393896,10.076495294287888,10.083830278838017,10.276240397661674,10.070663173604137,10.083830278838017,10.276240397661674
AW kernel support bw2 [uv-pixels],10.346538660447631,11.746700260861175,10.234406762835278,16.054821106895847,10.131666666390402,11.407719835695314,10.28718934925449,10.18341170153024,10.857423464078563,10.828062549419029,10.175007801470102,10.18341170153024,10.857423464078563,10.828062549419029,10.175007801470102,10.18341170153024,10.857423464078563,10.828062549419029,10.61693369322116,10.960794245747957,12.085566324430438,12.802323551363765,10.99899293696814,10.685620559366827,11.582271109828914,17.87056665691323,11.842949492482308,10.867193566978308,11.71183769218416,19.97786713370994,10.148894225130348,10.126937710958853,10.425422220818449,10.581436722829762,10.446223734921633,11.030988249666805,12.983072079438928,11.647772496519124,10.378064198981738,10.112935854579444,10.190419371328487,10.189870235206959,10.112935854579444,10.190419371328487,10.171764972445356,10.297846261463823,10.218378647738572,10.117613524259774,10.128869027024555,10.422702029881117,10.10866130609332,10.128869027024555,10.422702029881117
AW kernel support bw3 [uv-pixels],10.954658564868382,14.422760968306942,10.427196586354611,19.777895262914775,10.240874287213579,12.470500459773644,10.794768764007536,10.511739220378825,12.279870418527116,12.20591419243874,10.488619918555182,10.511739220378825,12.279870418527116,12.20591419243874,10.488619918555182,10.511739220378825,12.279870418527116,12.20591419243874,11.109205806207598,11.708350472431368,13.597152099171016,14.757956928693657,11.774183544852733,11.229868827556535,12.763724917065018,22.473716730670848,13.197504638211631,11.546445489475579,12.979923193846632,25.54699913267013,10.272216230695292,10.232263862135266,10.769967807022725,11.046644449163836,10.807022515320387,11.829220576017219,15.046570270304306,12.873172710883903,10.685411141196688,10.20675151400369,10.347597334431686,10.346601994558352,10.20675151400369,10.347597334431686,10.31376253905474,10.541549458371714,10.398221934607852,10.215277537024782,10.235780748203569,10.765118352979032,10.198957639588707,10.235780748203569,10.765118352979032
AW kernel support bw4 [uv-pixels],12.523105547095605,20.194770905688895,10.90046167756402,27.03852763206795,10.51240233131899,14.830953581117567,12.215386021003106,11.791015130343055,16.800735011292883,16.800735011292883,11.331996128555707,11.791015130343055,16.800735011292883,16.800735011292883,11.331996128555707,11.791015130343055,16.800735011292883,16.800735011292883,12.26957375224938,13.419933715229783,16.838537824910016,18.837361692005018,13.543914052148125,12.504701098171275,15.361323897089283,31.283783869983218,,,,,10.578164415653145,10.494300278206028,11.597745450678241,12.146907816378492,11.671956694250678,13.647231570681889,17.180907566131587,14.192382447101343,11.42758449711108,10.440573662844434,10.735515203756862,10.733444889123648,10.440573662844434,10.735515203756862,10.665028903770727,11.135352114454843,10.84056067337712,10.458543863767048,10.501695835768212,11.588017321750613,10.424133184584361,10.501695835768212,11.588017321750613
AW kernel support bw5 [uv-pixels],,,11.455759660683173,33.93486246146408,10.836882154867562,17.303119505671447,,,,,,,,,,,,,13.562542086326781,15.266959379954177,20.13051901086333,22.891495491326214,,,,,,,,,10.942594995088957,10.80771976258292,12.541689314003897,13.377748793118657,12.655566951291817,15.598491100247308,,,12.279424688202953,10.721002305727717,11.194122119432892,11.190825262221512,10.721002305727717,11.194122119432892,11.081690504774391,11.825013623990401,11.360976792582864,10.750034611880222,10.819637334389459,12.526739264402464,10.69441694142725,10.819637334389459,12.526739264402464
AW kernel support bw6 [uv-pixels],,,12.716860552665338,46.812838672032015,11.594767637568355,22.248893069448528,,,,,,,,,,,,,14.236480037376896,16.21148507367195,21.76207513619908,24.881137662755787,,,,,,,,,11.789391741861564,11.54084199139819,14.604391547338222,15.338298358831393,14.248861747725897,18.591926763412076,,,14.15633935660813,11.379864788917187,12.247387583768253,12.241428351292402,11.379864788917187,12.247387583768253,12.043517479299535,13.368813805892618,12.547553752393103,11.433864010885323,11.562891930209416,14.578967733152675,11.330322114172006,11.562891930209416,14.578967733152675
AW kernel support bw7 [uv-pixels],,,14.090093787404804,58.79397122722197,12.448104687277935,27.0545032383466,,,,,,,,,,,,,,,,,,,,,,,,,12.736686494755427,12.367825681397855,16.761868637010675,,,,,,16.13558805143748,12.127312384222801,13.40920288609782,13.400507564581272,12.127312384222801,13.40920288609782,13.110926203264968,15.02356544023001,13.84545400090996,12.208139265505443,12.400668611500077,16.726443030512765,12.05302171664447,12.400668611500077,16.726443030512765
AW kernel support bw8 [uv-pixels],,,15.157220961514698,67.34651903115514,13.127899498177968,30.549578435381843,,,,,,,,,,,,,,,,,,,,,,,,,13.48753964307043,13.02758987760128,18.394811973805886,,,,,,17.641234190384644,12.726338678758733,14.32042307952006,14.309697135488301,12.726338678758733,14.32042307952006,13.951869762670569,16.295695922967944,14.857243843424328,12.827701555184586,13.068641823393811,18.352257740047357,12.633058161239653,13.068641823393811,18.352257740047357
AW kernel support bw9 [uv-pixels],,,16.603245408090345,78.30114660629,14.068224193507254,35.073229766204655,,,,,,,,,,,,,,,,,,,,,,,,,14.521653054531074,13.941373703452081,20.564329832309124,,,,,,19.648900063716788,13.55934306693662,15.564382260750346,15.551013003985469,13.55934306693662,15.564382260750346,14.237288209115103,16.722400813160828,15.198870021555381,13.688070486520203,13.99330844380743,20.512721446814172,13.44070854019679,13.99330844380743,20.512721446814172
AW kernel support bw10 [uv-pixels],,,18.058622411331953,88.84094726452498,15.033042704968969,39.45728321406006,,,,,,,,,,,,,,,,,,,,,,,,,15.578261764847475,14.880129749332909,22.710871918923985,,,,,,21.64137095416467,14.418513661365205,16.82489370513478,16.808966778965335,14.418513661365205,16.82489370513478,,,,14.574247156924125,14.942756034047138,22.650649579355207,14.27481287921414,14.942756034047138,22.650649579355207
AW kernel support bw11 [uv-pixels],,,19.51243212322152,99.04134569169598,16.011910213636902,43.71883635702544,,,,,,,,,,,,,,,,,,,,,,,,,16.646532950611697,15.8335509706761,24.827703220524,,,,,,23.61065532858781,15.294040952344007,18.09077749147707,18.072378760632166,15.294040952344007,18.09077749147707,,,,15.476240208644166,15.90661953715053,24.759233370992447,15.12574242929965,15.90661953715053,24.759233370992447
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Buffer [PetaBytes],0.3753318499222433,3.304977334272,1.5776005675885707,3.1552011351771414,0.7472818416771754,3.1552011351771414,17.319967902571157,3.207533513143087,6.415067026286174,12.468253262563763,11.546785087057472,3.207533513143087,6.415067026286174,12.468253262563763,11.546785087057472,3.207533513143087,6.415067026286174,12.468253262563763,1.0747039614579226,0.19902283651273447,0.19902283651273447,0.66096286135014,0.3311909473579552,0.09199932077882396,0.0037014286339837614,0.3130520815609235,0.0626575246451241,0.017405458598998662,0.017405458598998662,0.060846344365063275,9.311071338574893,1.7242807601715338,3.4485615203430675,0.02948026197356476,0.01474013098678238,0.02948026197356476,0.21415239216295898,0.10707619608147949,18.831412190864103,5.230964861985152,10.461929723970304,18.931206811062847,5.230964861985152,10.461929723970304,11.773821003175055,3.270522647192774,6.541045294385548,15.728167592428676,4.368949949351946,8.737899898703892,18.931206811062847,4.368949949351946,8.737899898703892
Total buffer ingest rate [TeraBytes/s],0.22951231488,0.45902462976,0.21911118994285705,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.11718355056481629,0.058591775282408144,0.0936553801197049,0.17067605927255525,0.11230408655405545,0.056152043277027726,8.568121837925374e-05,0.007246575962058415,0.0603171441186228,0.0301585720593114,0.0301585720593114,0.0019206548095032597,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.24400634366067123,0.12200317183033561,0.24400634366067123,0.0882049461869223,0.04410247309346115,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4326091720769555,0.21630458603847774,0.4326091720769555,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4382223798857141,0.21911118994285705,0.4382223798857141
Cleaning memory [PetaBytes],0.0020822188206076676,13.537727443188897,0.04230743734749433,481.36462048704647,0.019397284682796327,441.3959892262987,0.01082662947439013,0.001485134358626904,0.10313433046020168,0.30940299138060506,0.004811835321951169,0.001485134358626904,0.10313433046020168,0.30940299138060506,0.004811835321951169,0.001485134358626904,0.10313433046020168,0.30940299138060506,0.004577771617304449,0.00043607792422119794,0.218038962110599,1.3954493575078335,0.0008587339573112956,0.00018405648947858704,0.007362259579143483,8.953243699941728,0.00028490731742091257,6.106552585324769e-05,0.018319657755974307,2.8185801482119834,0.06410414641970531,0.006106552585324772,3.053276292662386,0.0014135538391955478,0.0014135538391955478,0.353388459798887,0.0005223140413270903,0.0914049572322408,0.06726978327993767,0.020762278790104217,7.266797576536476,0.15135701237985974,0.020762278790104217,7.266797576536476,0.02698265751561944,0.005783319940762054,2.914793250144075,0.06218215261170708,0.013327793340986605,6.663896670493303,0.13990984337634096,0.013327793340986605,6.663896670493303
Working (cache) memory [TeraBytes],9.826378997348808e-05,0.00030970755399879746,0.003853317561284125,0.03134904470261171,0.00028836300788875674,0.001263044645429843,0.0007071065577127979,7.989415548726815e-05,0.0002015783009176349,0.0002015783009176349,0.00019852335881719184,7.989415548726815e-05,0.0002015783009176349,0.0002015783009176349,0.00019852335881719184,7.989415548726815e-05,0.0002015783009176349,0.0002015783009176349,0.0002130796709056255,1.70184715893698e-05,5.915332630001893e-05,9.687910250974455e-05,0.00015608915118729366,3.4668390247936712e-06,1.2988407103093329e-05,0.0002133695530523715,8.373144889229939e-05,1.5756339154191713e-06,4.642163243865232e-06,0.00010643003881362782,0.00048270718171207456,1.51553370287003e-05,9.613643728488956e-05,2.5774507304225684e-05,1.7134280621229317e-05,6.308424694872665e-05,8.935417927147688e-05,3.34702714916297e-05,0.007855069718852357,0.00022849185291528117,0.000898195650921006,0.0027386538172088173,0.00022849185291528117,0.000898195650921006,0.00027283367287617735,3.944752449593702e-05,0.00022110445225457162,0.000242990439125836,3.101305549991054e-05,0.00019037982488596914,0.000598650667980611,3.101305549991054e-05,0.00019037982488596914
Visibility I/O Rate [TeraBytes/s],1.2511061664074776,11.01659111424,5.258668558628569,10.517337117257139,2.490939472257251,10.517337117257139,8.018503658597757,1.7819630628572705,3.563926125714541,6.92680736809098,5.345733836600681,1.7819630628572705,3.563926125714541,6.92680736809098,5.345733836600681,1.7819630628572705,3.563926125714541,6.92680736809098,0.49754813030459377,0.11056824250707471,0.11056824250707471,0.36720158963896665,0.1533291422953496,0.05111073376601331,0.0020563492411020895,0.17391782308940196,0.03955651808404299,0.013185953484089893,0.013185953484089893,0.046095715428078235,4.310681175266154,0.957933755650852,1.915867511301704,0.6657692405954102,0.39946154435724607,0.7989230887144921,0.27039443454919054,0.16223666072951434,8.71824638465931,2.906091589991751,5.812183179983502,8.764447597714284,2.906091589991751,5.812183179983502,5.450843057025488,1.816957026218208,3.633914052436416,7.281559070568832,2.427194416306637,4.854388832613274,8.764447597714284,2.427194416306637,4.854388832613274
Inter-Facet I/O Rate [TeraBytes/s],0.020974731709417892,1.9091666907061264,0.7458041840103166,67.88475417125014,0.6838786266370499,62.24815232678571,0.0016656353037523273,0.00027925603324608446,0.002424097510816706,0.007272292532450117,0.0007402823572232566,0.00027925603324608446,0.002424097510816706,0.007272292532450117,0.0007402823572232566,0.00027925603324608446,0.002424097510816706,0.007272292532450117,0.0035213627825418834,0.00040998779200283566,0.005124847400035446,0.03279902336022685,0.008257057281839382,0.00017304456275764592,0.00017304456275764592,0.210439488673844,0.003735672868281195,7.828913570929189e-05,0.0005871685178196893,0.09033910731448663,0.04931088186131177,0.005741203285348075,0.07176504106685094,0.02652070992862191,0.03241420102387122,0.40517751279839026,0.0034242616345744542,0.005859292130271844,0.32341241961508493,0.009760045585091725,0.1708007977391052,0.05821423553071528,0.009760045585091725,0.1708007977391052,0.010377945198315168,0.0027186546730078027,0.06851009775979663,0.02391621254296426,0.006265201997899685,0.15663004994749213,0.0538114782216696,0.006265201997899685,0.15663004994749213
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],3.6661741263365872,28.650033887716152,15.665042612825129,340.60898523703753,6.767540858983624,280.3017698768391,13.570603187441291,4.719321841683008,5.175145848986987,10.241265897611083,8.398939707615657,4.719321841683008,5.175145848986987,10.241265897611083,8.398939707615657,4.719321841683008,5.175145848986987,10.241265897611083,0.8765848297575377,0.3252698237064859,0.357330829793673,1.2666641035362203,0.3191382981341041,0.1598127455962095,0.007997546689729074,1.6172783873004137,0.09591016191091063,0.04541543383060069,0.04912574435030321,0.7075626551796937,6.11588891636249,2.519084631817166,2.844000703139856,1.7345796989059392,1.1362338120619244,2.9640125917342344,0.49909809878362615,0.5648138379414716,14.12196755187417,7.435429634948588,8.666360359027646,13.852637541813895,7.435429634948588,8.666360359027646,7.661731696769659,4.691357300598452,5.287337911884164,9.77908959129043,6.130357472920168,7.096563917614736,12.46160288278779,6.130357472920168,7.096563917614736
-> IFFT [PetaFLOP/s],0.0434876292264272,0.004622378341398527,0.2417714649388584,0.05186011229156017,0.04570065754181335,0.0068435206351270955,0.12092702643418965,0.011656036556597013,0.016638058830967792,0.017043684344753514,0.051077830157274684,0.011656036556597013,0.016638058830967792,0.017043684344753514,0.051077830157274684,0.011656036556597013,0.016638058830967792,0.017043684344753514,0.02764261015742318,0.0029483629471856506,0.0017022190787942028,0.0013699295047963234,0.01271245408904594,0.00101213003621247,0.0001129198748640025,0.00010249524226883232,0.0037176405988682297,0.00024332500659809565,0.00015086759135348376,2.1943896817383525e-05,0.09053448441505683,0.014510465323676815,0.012854996251377737,0.008281097186801534,0.0060607669583621895,0.0068188228363999445,0.013555272893620348,0.0010223553122779483,0.6368060032003959,0.03728665745816857,0.02876436538891862,0.42613457503937624,0.03728665745816857,0.02876436538891862,0.10752709314336482,0.03528960506368706,0.018405375657758186,0.08569450455533296,0.0209585352121237,0.018837972500011575,0.16314217622884478,0.0209585352121237,0.018837972500011575
