,Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) []
Image size [GB],3.1779896529421046,23.167544569947953,1.1440762750591578,23.167544569947953,3.1779896529421046,3.1779896529421046,3.1779896529421046,3.1779896529421046,3.1779896529421046,113.00063394095704,823.7746214295769,40.680228218744546,823.7746214295769,113.00063394095704,113.00063394095704,113.00063394095704,113.00063394095704,113.00063394095704,98.51038238404865,718.1406875797147,35.463737658257536,718.1406875797147,98.51038238404865,98.51038238404865,98.51038238404865,98.51038238404865,98.51038238404865,98.24134852303014,716.1794307328895,35.36688546829085,716.1794307328895,98.24134852303014,98.24134852303014,98.24134852303014,98.24134852303014,98.24134852303014,98.41160034072206,717.4205664838641,35.42817612265995,717.4205664838641,98.41160034072206,98.41160034072206,98.41160034072206,98.41160034072206,98.41160034072206
Image cube size [GB],833090.919580855,3706.8071311916724,91.52610200473264,3706.8071311916724,254.23917223536836,254.23917223536836,508.4783444707367,833090.919580855,833090.919580855,29622438.183818243,131803.93942873232,3254.4182574995634,131803.93942873232,9040.050715276564,9040.050715276564,18080.101430553128,29622438.183818243,29622438.183818243,25823905.67968405,114902.51001275436,2837.099012660603,114902.51001275436,7880.830590723893,7880.830590723893,15761.661181447786,25823905.67968405,25823905.67968405,25753380.067221213,114588.70891726232,2829.3508374632684,114588.70891726232,7859.307881842411,7859.307881842411,15718.615763684822,25753380.067221213,25753380.067221213,25798010.559718244,114787.29063741826,2834.254089812796,114787.29063741826,7872.928027257764,7872.928027257764,15745.856054515529,25798010.559718244,25798010.559718244
Calibration output [GB],0.0,0.4718592,0.0,3.3193984,0.0,0.0,0.0,0.0,0.0,0.0,0.1815552,0.0,0.20601472,0.0,0.0,0.0,0.0,0.0,0.0,0.1815552,0.0,0.15608704,0.0,0.0,0.0,0.0,0.0,0.0,0.1815552,0.0,0.15608704,0.0,0.0,0.0,0.0,0.0,0.0,0.1815552,0.0,0.15608704,0.0,0.0,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600
Calibration process in [MB],0.0,71.76192,0.0,31037.0304,0.0,0.0,0.0,0.0,0.0,0.0,18.533759999999997,0.0,1454.9001599999995,0.0,0.0,0.0,0.0,0.0,0.0,24.711679999999998,0.0,1532.1241599999996,0.0,0.0,0.0,0.0,0.0,0.0,24.711679999999998,0.0,1532.1241599999996,0.0,0.0,0.0,0.0,0.0,0.0,24.711679999999998,0.0,1532.1241599999996,0.0,0.0,0.0,0.0,0.0
Calibration process out [MB],0.0,0.1872457142857143,0.0,80.98377142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.12608,0.0,9.89728,0.0,0.0,0.0,0.0,0.0,0.0,0.16810666666666668,0.0,10.422613333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.16810666666666668,0.0,10.422613333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.16810666666666668,0.0,10.422613333333333,0.0,0.0,0.0,0.0,0.0
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),0.010541232779326315,0.001445985292088658,0.001445985292088658,0.008262773097649473,13.537727443188897,(undefined),(undefined),(undefined),(undefined),0.3084212182632336,0.04230743734749433,0.04230743734749433,0.42307437347494325,693.1650535013471,(undefined),(undefined),(undefined),(undefined),0.2016539050723839,0.019209524564889488,0.019209524564889488,0.2561269941985265,419.63846729486585,(undefined),(undefined),(undefined),(undefined),0.20110318414979542,0.019157062961990875,0.019157062961990875,0.25542750615987836,418.4924260923447,(undefined),(undefined),(undefined),(undefined),0.20145169506866906,0.027633977375674763,0.027633977375674763,0.2558701608858774,603.6734470974071,(undefined)
Working (cache) memory [TeraBytes],(undefined),4.331826496613267e-05,4.211702508999789e-05,4.331826496621681e-05,2.3241787916422373e-06,3.244671427497714e-06,1.2301250636256196e-06,6.481223309935956e-05,(undefined),(undefined),0.0012841515821900942,0.0038035880196706107,0.0012841515208345882,0.00011220669227759853,0.0001803708581884069,7.09364270232984e-05,0.024347703219941917,(undefined),(undefined),0.0008419779707175077,2.563965184361932e-06,0.0008419779707175077,4.968125148029603e-06,1.2970155412068683e-05,4.5980818062103695e-06,0.00024098656310371643,(undefined),(undefined),0.00034542602845776384,9.730454877975884e-06,0.0003454260169093252,8.179249400380474e-06,2.054374663793732e-05,7.372325581164657e-06,0.0009231463495321479,(undefined),(undefined),0.000763938177010003,0.0003473074071469763,0.0007639381633054114,6.070639168819992e-05,0.00010605841552394614,2.798165679081131e-05,0.004645492687863568,(undefined)
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Buffer [PetaBytes],1.652488667136,1.652488667136,0.00022951231488,1.652488667136,0.826244333568,0.826244333568,1.652488667136,1.652488667136,1.652488667136,1.5776005675885707,1.5776005675885707,0.00021911118994285707,1.5776005675885707,0.7888002837942854,0.7888002837942854,1.5776005675885707,1.5776005675885707,1.5776005675885707,1.5776005675885707,1.5776005675885707,0.00021911118994285707,1.5776005675885707,0.7888002837942854,0.7888002837942854,1.5776005675885707,1.5776005675885707,1.5776005675885707,1.5776005675885707,1.5776005675885707,0.00021911118994285707,1.5776005675885707,0.7888002837942854,0.7888002837942854,1.5776005675885707,1.5776005675885707,1.5776005675885707,1.5776005675885707,1.5776005675885707,0.00021911118994285707,1.5776005675885707,0.7888002837942854,0.7888002837942854,1.5776005675885707,1.5776005675885707,1.5776005675885707
Total buffer ingest rate [TeraBytes/s],0.45902462976,0.45902462976,0.22951231488,0.45902462976,0.22951231488,0.22951231488,0.45902462976,0.45902462976,0.45902462976,0.4382223798857141,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.21911118994285705,0.21911118994285705,0.4382223798857141,0.4382223798857141,0.4382223798857141,0.4382223798857141,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.21911118994285705,0.21911118994285705,0.4382223798857141,0.4382223798857141,0.4382223798857141,0.4382223798857141,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.21911118994285705,0.21911118994285705,0.4382223798857141,0.4382223798857141,0.4382223798857141,0.4382223798857141,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.21911118994285705,0.21911118994285705,0.4382223798857141,0.4382223798857141,0.4382223798857141
Output size [TB],0.0,0.0,0.0,0.0,0.8898371028237891,0.8898371028237891,2.5423917223536834,4165.454597904275,1646.046216192,0.0,0.0,0.0,0.0,22.057723745274817,22.057723745274817,106.3109964116524,174179.93652085128,1561.6652083199995,0.0,0.0,0.0,0.0,11.82124588608584,11.82124588608584,78.80830590723893,129119.52839842025,1561.6652083199995,0.0,0.0,0.0,0.0,11.788961822763618,11.788961822763618,78.5930788184241,128766.90033610605,1561.6652083199995,0.0,0.0,0.0,0.0,14.407458289881706,14.407458289881706,78.72928027257764,151692.3020911433,1561.6652083199995
Visibility I/O Rate [TeraBytes/s],0.9144701201066667,1.1215595454252294,0.4036926769188559,5.607797727126148,1.2462285595208984,1.2462285595208984,2.492457119041797,10.97364144128,10.97364144128,0.8675917823999998,1.7351835647999996,0.8675917823999998,8.675917823999997,5.205550694399998,5.205550694399998,10.411101388799995,10.411101388799995,10.411101388799995,0.8675917823999998,1.7351835647999996,0.7021300577424494,8.675917823999997,3.253158961124033,3.253158961124033,6.506317922248066,10.411101388799995,10.411101388799995,0.8675917823999998,1.7351835647999996,0.6969936454642788,8.675917823999997,3.2293605739448172,3.2293605739448172,6.4587211478896345,10.411101388799995,10.411101388799995,0.8675917823999998,1.7351835647999996,0.7002449582473639,8.675917823999997,3.2444247854199686,3.2444247854199686,6.488849570839937,10.411101388799995,10.411101388799995
Facet visibility rate [TeraBytes/s],0.0,0.05232269706542798,0.013075187928042851,0.4709042735888518,0.06254755406549728,0.06254755406549728,0.12509510813099456,1.2950206280783074,(undefined),0.0,0.002144828477079413,0.016677155979291355,0.019303456293714723,0.015255739821381122,0.015255739821381122,0.030511479642762244,0.24734077018675757,(undefined),0.0,0.003666047636738786,0.008657074631916414,0.032994428730649075,0.06281583926851438,0.06281583926851438,0.12563167853702875,0.9011496093699782,(undefined),0.0,0.003639228837118395,0.008593744107086491,0.03275305953406556,0.06235631237719424,0.06235631237719424,0.12471262475438848,0.9011496093699782,(undefined),0.0,0.001804218434655447,0.00863383188321446,0.016237965911899025,0.00761012222019326,0.00761012222019326,0.1252943793259156,0.3381660150772433,(undefined)
Image Write Rate [TeraBytes/s],0.0,0.006178011885319454,0.0915261020047326,0.055602106967875084,0.023305257454908777,0.0046610514909817555,0.009322102981963511,15.273333525649015,(undefined),0.0,0.3163294546289576,3.254418257499563,2.8469650916606177,1.1932866944165066,0.23865733888330132,0.47731467776660264,782.0323680528018,(undefined),0.0,0.27576602403061046,2.837099012660602,2.4818942162754944,0.722409470816357,0.1444818941632714,0.2889637883265428,473.4382707942077,(undefined),0.0,0.27501290140142964,2.8293508374632688,2.475116112612866,0.7204365558355543,0.14408731116711085,0.2881746223342217,472.1453012323888,(undefined),0.0,0.27548949752980384,2.8342540898127955,2.479405477768234,1.0392264995980254,0.20784529991960504,0.28867402766611816,681.0674787765619,(undefined)
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],0.6323672603670755,0.5577674123105749,0.2867917579911013,5.132641753360125,1.84854730357096,1.7077988380431066,1.826161437518978,14.904286508468905,0.5193047194555733,0.6036604152474057,1.2445726446377547,0.6912615428635379,11.219906515081895,7.96827803874363,7.218254242741315,7.489035747642437,38.56127102232793,0.12366797864959997,0.6036604152474057,0.7790481010281474,0.5543700496301094,7.019517193105467,4.510272215488002,4.3075890079466745,4.384371790467155,17.678500088451987,0.12366797864959997,0.6036604152474057,0.8185538472974382,0.5506420455280664,7.37506864475941,4.5388188065354225,4.301922072433396,4.378434526007426,18.51165967746721,0.12366797864959997,0.6036604152474057,0.9538110140597444,0.554304577646819,8.595404686793486,4.801781981231372,4.427376708175165,4.540056654041671,27.771913122733853,0.12366797864959997
-> Identify Component [PetaFLOP/s],,,,0.0002988125578746761,3.675179565026577e-05,3.675179565026577e-05,0.00021001026085866153,0.3440808113908311,,,,,0.013744460721857322,0.00020949963846701055,0.00020949963846701055,0.0020949963846701057,5.78532372790039,,,,,0.003244213180323261,2.6674272898172246e-05,2.6674272898172246e-05,0.00035565697197562996,0.582708382884872,,,,,0.0032439484106489397,2.6643446101597203e-05,2.6643446101597203e-05,0.0003552459480212961,0.5820349612380915,,,,,0.00626548958397532,0.00015471753830621914,0.00015471753830621914,0.0003555060549649921,3.379856196812126,
-> Reprojection Predict [PetaFLOP/s],,0.00019306287141623293,,0.0017375658427460966,0.00014565785909317983,3.6414464773294957e-06,5.826314363727193e-05,0.00029131571818635967,,,0.009885295457154924,,0.08896765911439432,0.007458041840103166,0.00018645104600257915,0.0029832167360412665,0.014916083680206332,,,0.008617688250956579,,0.0775591942586092,0.00451505919260223,0.00011287647981505579,0.0018060236770408927,0.00903011838520446,,,0.008594153168794675,,0.07734737851915208,0.004502728473972215,0.00011256821184930539,0.0018010913895888862,0.00900545694794443,,,0.00860904679780637,,0.07748142118025733,0.0064951656224876584,0.00016237914056219143,0.0018042126729132383,0.012990331244975317,
-> IFFT [PetaFLOP/s],,0.05852803668133113,0.0012092726234217428,0.5267523301315281,0.020093171483101538,0.017331832437056806,0.010655658676005094,0.009214242603992841,,,0.1636378895448879,0.03279193523162151,1.4727410370199183,0.17118102832434412,0.13877044567904992,0.08387310052759751,0.022555810599828433,,,0.013903644070828032,0.02841144212106858,0.1251327966374523,0.04200267982415569,0.027473497869237497,0.017386632295979643,0.015134278609191172,,,0.037087338324655175,0.028330361458380082,0.3337860498557091,0.060615325611486436,0.040339978358635405,0.025386250350541192,0.015091170010839854,,,0.08439466581304138,0.028381670304011127,0.7595519983409064,0.06795487116625396,0.0530931023880717,0.0682815382296881,0.02005333907689703,
-> DFT [PetaFLOP/s],,0.3821646477026065,0.27511168762122906,3.4394818293234586,1.5570311607135852,1.5570311607135852,1.5570311607135852,6.855203862901193,,,0.6082010209133714,0.6082010209133714,5.473809188220343,6.690211230047085,6.690211230047085,6.690211230047085,6.690211230047085,,,0.6082010209133714,0.4922086937610466,5.473809188220343,4.180983318105772,4.180983318105772,4.180983318105772,6.690211230047085,,,0.6082010209133714,0.48860795519391365,5.473809188220343,4.150397459565449,4.150397459565449,4.150397459565449,6.690211230047085,,,0.6082010209133714,0.49088719733762193,5.473809188220343,4.169758092608804,4.169758092608804,4.169758092608804,6.690211230047085,
-> Correct [PetaFLOP/s],,0.022431190908504598,0.00201846338459428,0.20188071817654138,0.045695047182432946,0.045695047182432946,0.09139009436486589,0.40236685284693335,0.40236685284693335,,0.0011567890431999996,0.00014459863039999996,0.010411101388799996,0.006362339737599999,0.006362339737599999,0.012724679475199998,0.012724679475199998,0.012724679475199998,,0.0011567890431999996,0.00011702167629040821,0.010411101388799996,0.003976083174707152,0.003976083174707152,0.007952166349414303,0.012724679475199998,0.012724679475199998,,0.0011567890431999996,0.00011616560757737978,0.010411101388799996,0.003946996257043665,0.003946996257043665,0.00789399251408733,0.012724679475199998,0.012724679475199998,,0.0011567890431999996,0.00011670749304122733,0.010411101388799996,0.00396540807106885,0.00396540807106885,0.0079308161421377,0.012724679475199998,0.012724679475199998
-> FFT [PetaFLOP/s],,0.011705607336266226,0.0012092726234217428,0.10535046602630559,0.020093171483101538,0.003466366487411361,0.010655658676005094,3.019323016476375,,,0.03272757790897759,0.03279193523162151,0.2945482074039837,0.17118102832434412,0.027754089135809977,0.08387310052759751,7.39108801735178,,,0.002780728814165607,0.02841144212106858,0.025026559327490462,0.04200267982415569,0.0054946995738475,0.017386632295979643,4.9592004146597635,,,0.007417467664931035,0.028330361458380082,0.06675720997114182,0.060615325611486436,0.00806799567172708,0.025386250350541192,4.945074589152001,,,0.01687893316260828,0.028381670304011127,0.15191039966818123,0.06795487116625396,0.010618620477614341,0.0682815382296881,6.5710781487176195,
-> Degrid [PetaFLOP/s],,0.022874745594573836,0.0011477721638351018,0.20587271035129937,0.0773915472693735,0.01596856795824774,0.029595974332373164,0.6544311219995113,,,0.06545559652817955,0.005523025368529188,0.5891003608122519,0.24301000573966067,0.055572672564224185,0.08731476821241835,4.162344140768537,,,0.0311534795306716,0.000492399559938407,0.2803813157760444,0.09604431022273344,0.02398800739978831,0.03786950315276817,0.471242884457141,,,0.03468317786520355,0.0005241691286776834,0.31214859845040593,0.10667201678313437,0.02786749592429697,0.041626031529173865,0.8699814851497009,,,0.03601171019184257,0.0011171243785137275,0.324105389922063,0.11141936445213516,0.02554912496621466,0.0633515214148027,2.248696070803897,
-> Gridding Kernel Update [PetaFLOP/s],,0.01469227836249039,0.0012833998070321706,0.13223050526254704,0.018496534282716005,0.019378456106216472,0.0345861620989288,0.702739601111333,,,0.06013249656526407,0.0005923695093463695,0.5411924583591831,0.0357414346061138,0.04346048844416131,0.06116180982804888,1.807125435321808,,,0.009010836426739985,5.736084244094371e-05,0.08109752784065986,0.002566266687776665,0.003111428371606482,0.005069120566174866,0.025286048920136063,,,0.011338362703847905,5.854413041412465e-05,0.10204526371077,0.00304704482390429,0.004114642920677043,0.005927528090851266,0.054601281210948795,,,0.024954227192476554,9.611049109431163e-05,0.224588042922686,0.016928047416443298,0.020392413075285186,0.012253768092409701,0.3351106135617488,
